version,Pad,Len,Rate,ChannelFrequency,ChannelFlags,dBm_AntSignal,Antenna,subtype,type,proto,FCfield,ID,addr1,addr2,addr3,SC,addr4,Dot11Elt1.ID,Dot11Elt1.len,Dot11Elt1.info
0,0,18,1.0,2422,CCK+2GHz,-21,1,8,0,0,,0,ff:ff:ff:ff:ff:ff,24:f5:a2:72:d2:e4,24:f5:a2:72:d2:e4,57328,None,0,16,IoT@Research Lab,
0,0,18,1.0,2422,CCK+2GHz,-35,1,8,0,0,,0,ff:ff:ff:ff:ff:ff,24:f5:a2:72:d2:e4,24:f5:a2:72:d2:e4,57344,None,0,16,IoT@Research Lab,
0,0,18,1.0,2422,CCK+2GHz,-35,1,8,0,0,,0,ff:ff:ff:ff:ff:ff,24:f5:a2:72:d2:e4,24:f5:a2:72:d2:e4,57360,None,0,16,IoT@Research Lab,
0,0,18,1.0,2422,CCK+2GHz,-21,1,8,0,0,,0,ff:ff:ff:ff:ff:ff,24:f5:a2:72:d2:e4,24:f5:a2:72:d2:e4,57376,None,0,16,IoT@Research Lab,
0,0,18,1.0,2422,CCK+2GHz,-45,1,4,0,0,,0,ff:ff:ff:ff:ff:ff,b0:5a:da:f9:34:0c,ff:ff:ff:ff:ff:ff,42368,None,0,8,2WIRE223,
0,0,18,1.0,2422,CCK+2GHz,-45,1,4,0,0,,0,ff:ff:ff:ff:ff:ff,b0:5a:da:f9:34:0c,ff:ff:ff:ff:ff:ff,42384,None,0,8,2WIRE223,
0,0,18,1.0,2422,CCK+2GHz,-21,1,8,0,0,,0,ff:ff:ff:ff:ff:ff,24:f5:a2:72:d2:e4,24:f5:a2:72:d2:e4,57392,None,0,16,IoT@Research Lab,
0,0,18,36.0,2422,OFDM+2GHz,-19,1,0,2,0,to-DS+protected,9728,24:f5:a2:72:d2:e4,a4:da:22:34:19:e5,28:80:88:9d:36:fb,46144,None,
0,0,18,24.0,2422,OFDM+2GHz,-25,1,13,1,0,,0,a4:da:22:34:19:e5,None,None,None,None,
0,0,18,36.0,2422,OFDM+2GHz,-19,1,0,2,0,to-DS+protected,9728,24:f5:a2:72:d2:e4,a4:da:22:34:19:e5,28:80:88:9d:36:fb,46160,None,
