Label,IPLength,IPHeaderLength,TTL,           Protocol,SourcePort,DestPort,SequenceNumber,AckNumber           ,WindowSize,TCPHeaderLength,TCPLength,TCPStream     ,TCPUrgentPointer,IPFlags,IPID,IPchecksum,TCPflags,TCPChecksum
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51130,8883,0,0,29200,40,0,16,0,0x40,0x73c1,0x0386,0x0002,0xd49f
filtered_pcap\_TCP_Miscellaneous,52,20,64,6,54031,443,1983,2212,7264,32,0,1,0,0x40,0x73ba,0xbfdb,0x0010,0x5a3f
filtered_pcap\_TCP_Miscellaneous,137,20,64,6,54031,443,1983,2212,7264,32,85,1,0,0x40,0x73bb,0xbf85,0x0018,0x4d6f
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51134,8883,0,0,29200,40,0,17,0,0x40,0xd54c,0xa1fa,0x0002,0x3f4f
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51134,8883,0,0,29200,40,0,17,0,0x40,0xd54d,0xa1f9,0x0002,0x3d5a
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51134,8883,0,0,29200,40,0,17,0,0x40,0xd54e,0xa1f8,0x0002,0x3971
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51134,8883,0,0,29200,40,0,17,0,0x40,0xd54f,0xa1f7,0x0002,0x319d
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51134,8883,0,0,29200,40,0,17,0,0x40,0xd550,0xa1f6,0x0002,0x21f5
filtered_pcap\_TCP_Miscellaneous,137,20,64,6,54031,443,2068,2313,7264,32,85,1,0,0x40,0x73bc,0xbf84,0x0018,0xd9a3
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51134,8883,0,0,29200,40,0,17,0,0x40,0xd551,0xa1f5,0x0002,0x029d
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51136,8883,0,0,29200,40,0,18,0,0x40,0xbae5,0xbc61,0x0002,0xdf47
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51136,8883,0,0,29200,40,0,18,0,0x40,0xbae6,0xbc60,0x0002,0xdd52
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51136,8883,0,0,29200,40,0,18,0,0x40,0xbae7,0xbc5f,0x0002,0xd968
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51136,8883,0,0,29200,40,0,18,0,0x40,0xbae8,0xbc5e,0x0002,0xd196
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51136,8883,0,0,29200,40,0,18,0,0x40,0xbae9,0xbc5d,0x0002,0xc1ee
filtered_pcap\_TCP_Miscellaneous,137,20,64,6,54031,443,2153,2414,7264,32,85,1,0,0x40,0x73bd,0xbf83,0x0018,0xbb41
filtered_pcap\_TCP_Miscellaneous,153,20,64,6,54031,443,2238,2414,7264,32,101,1,0,0x40,0x73be,0xbf72,0x0018,0xf979
filtered_pcap\_TCP_Miscellaneous,52,20,64,6,54031,443,2339,2499,7264,32,0,1,0,0x40,0x73bf,0xbfd6,0x0010,0x32fa
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51138,8883,0,0,29200,40,0,19,0,0x40,0x11ba,0x658d,0x0002,0x77d6
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51138,8883,0,0,29200,40,0,19,0,0x40,0x11bb,0x658c,0x0002,0x75e1
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51138,8883,0,0,29200,40,0,19,0,0x40,0x11bc,0x658b,0x0002,0x71f7
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51138,8883,0,0,29200,40,0,19,0,0x40,0x11bd,0x658a,0x0002,0x6a23
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51138,8883,0,0,29200,40,0,19,0,0x40,0x11be,0x6589,0x0002,0x5a77
filtered_pcap\_TCP_Miscellaneous,52,20,64,6,54031,443,2339,2600,7264,32,0,1,0,0x40,0x73c0,0xbfd5,0x0010,0xd49a
filtered_pcap\_TCP_Miscellaneous,137,20,64,6,54031,443,2339,2600,7264,32,85,1,0,0x40,0x73c1,0xbf7f,0x0018,0xc890
filtered_pcap\_TCP_Miscellaneous,87,20,64,6,54244,443,141,125,3632,32,35,5,0,0x40,0xa43b,0xa848,0x0018,0xd0dd
filtered_pcap\_TCP_Miscellaneous,52,20,64,6,54244,443,176,156,3632,32,0,5,0,0x40,0xa43c,0xa86a,0x0010,0xb59e
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51138,8883,0,0,29200,40,0,19,0,0x40,0x11bf,0x6588,0x0002,0x3b27
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51284,8883,0,0,29200,40,0,20,0,0x40,0xd9a6,0x9da0,0x0002,0xaf47
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51284,8883,0,0,29200,40,0,20,0,0x40,0xd9a7,0x9d9f,0x0002,0xad52
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51284,8883,0,0,29200,40,0,20,0,0x40,0xd9a8,0x9d9e,0x0002,0xa969
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51284,8883,0,0,29200,40,0,20,0,0x40,0xd9a9,0x9d9d,0x0002,0xa195
filtered_pcap\_TCP_Miscellaneous,137,20,64,6,54031,443,2424,2701,7264,32,85,1,0,0x40,0x73c2,0xbf7e,0x0018,0xdcdd
filtered_pcap\_TCP_Miscellaneous,60,20,64,6,51284,8883,0,0,29200,40,0,20,0,0x40,0xd9aa,0x9d9c,0x0002,0x91e9
